Date;MY;Year;Month;Consommation_pdts_petroliers;import_pdts_pétroliers;prod_pdts_pétroliers;Importation du Pétrole Brut (kt);prod_electricité_combustible (GWh);consom_electricité_HT;consom_electricité_MT;consom_electricité_BT;consom_electricité_tot(GWh)
2010-01;janv-10;2010;janv;303,36;219,92;130,34;61,71;1152,9;102,9;437,2;450,3;990
2010-02;fev-10;2010;fev;279,56;253,72;138,3;122,54;1028,62;87,4;418,5;409,4;915
2010-03;mars-10;2010;mars;323,92;310,08;7,9;0;1126,78;109,7;471,6;499,3;1081
2010-04;avr-10;2010;avril;318,74;320,877;8,6;0;1094,35;108,3;472,5;435;1016
2010-05;mai-10;2010;mai;323,97;306,26;9,3;0;1176,6;117,8;479,1;427,9;1025
2010-06;juin-10;2010;juin;340,27;351,92;8,7;0;1290,67;112,5;559,1;435;1107
2010-07;juil-10;2010;juill;371,55;225,9;9,9;0;1581,18;112,1;633,3;469,5;1215
2010-08;aout-10;2010;aout;342,55;399,96;7,8;0;1548,1;108,3;591,2;487,7;1187
2010-09;sept-10;2010;sept;308,87;281,687;7,9;0;1260,88;97,7;528,8;475,6;1102
2010-10;oct-10;2010;oct;342,43;336,66;8,3;0;1219,54;115;509,7;540,4;1165
2010-11;nov-10;2010;nov;323,13;251,3;8;0;1086,06;106,9;449,7;474,8;1031
2010-12;dec-10;2010;dec;351,5;371,26;8,3;0;1226,94;114,4;501,3;565,1;1181
2011-01;janv-11;2011;janv;267,1;343,25;8,1;0;1152,92;98,1;421,9;446,3;966
2011-02;fev-11;2011;fev;232,9;254,08;7,3;0;1054,33;86,5;399,2;410,8;897
2011-03;mars-11;2011;mars;307,14;171,87;7,8;0;1160,6;100,7;466,7;512,7;1080
2011-04;avr-11;2011;avril;310,58;295,9;6,9;0;1130,59;102,8;469,1;449,1;1021
2011-05;mai-11;2011;mai;314,48;226,39;6,4;0;1199,99;110,4;483,5;482,8;1077
2011-06;juin-11;2011;juin;338,03;292,43;5,9;0;1308,06;96,8;547,4;460,1;1104
2011-07;juil-11;2011;juill;326,58;383,57;118,11;64,52;1615,36;88,6;621,9;455,3;1166
2011-08;aout-11;2011;aout;306,87;254,75;143,52;0;1562,02;85,3;549,1;446,9;1081
2011-09;sept-11;2011;sept;318,17;187,42;153,31;192,61;1432,18;89,4;596,6;609,3;1295
2011-10;oct-11;2011;oct;324,01;169,18;83,24;59,41;1237,92;105,9;494,6;565,2;1166
2011-11;nov-11;2011;nov;297,51;200,48;89,64;0;1121,08;96,2;445,2;507,8;1049
2011-12;dec-11;2011;dec;316,06;339,05;147,96;0;1244,64;102,1;490,8;466,7;1060
2012-01;janv-12;2012;janv;299,58;267,18;145,65;64,84;1320,75;113;480,8;540,5;1134
2012-02;fev-12;2012;fev;270,9;209,32;142,52;125,5;1254,56;93;471;N/A;N/A
2012-03;mars-12;2012;mars;296,66;202,15;151,12;64,6;1208,81;105,3;482,2;N/A;N/A
2012-04;avr-12;2012;avril;312,37;178,65;146,92;127,42;1183,34;118,2;473,5;479,8;1072
2012-05;mai-12;2012;mai;326,6;266,97;149,38;123,77;1287,69;111;528,1;484,9;1124
2012-06;juin-12;2012;juin;342;316,31;145,26;63,76;1520,81;114,1;584,9;503,9;1203
2012-07;juil-12;2012;juill;360,39;220,66;142,48;62,77;1822,65;104,8;661,2;480,1;1246
2012-08;aout-12;2012;aout;337,43;242,41;140,52;121,78;1858,78;103,8;606,8;518,3;1229
2012-09;sept-12;2012;sept;314,3;247,86;151,08;60,01;1432,75;101,4;570,8;632,9;1305
2012-10;oct-12;2012;oct;313,18;327,31;156,14;120,95;1332,05;105,6;552;576,7;1234
2012-11;nov-12;2012;nov;314,64;192,9;149,76;0;1221,17;105,9;489,1;609;1204
2012-12;dec-12;2012;dec;321,09;281,19;148,38;170,24;1337,42;112,9;495,6;623,8;1232
2013-01;janv-13;2013;janv;311,81;221,18;148,79;109,08;1344,66;98;499,5;476,7;1074
2013-02;fev-13;2013;fev;301,3;215,52;136,47;116,83;1263,5;101;469,5;557,9;1128
2013-03;mars-13;2013;mars;319,16;203,33;142,42;60,09;1298,71;110,1;485,7;527,4;1123
2013-04;avr-13;2013;avril;317,68;323,31;140,74;185,16;1247,78;111,9;511,3;521,8;1145
2013-05;mai-13;2013;mai;321,15;231,44;154,73;61,43;1328,74;110,4;539,3;541,4;1191
2013-06;juin-13;2013;juin;312;231,01;149,43;60,99;1431,02;108,5;570,2;514,9;1194
2013-07;juil-13;2013;juill;340,83;303,2;149,35;121,94;1765,89;112,4;635,8;475,2;1223
2013-08;aout-13;2013;aout;353,84;304,78;134,17;126,06;1729,73;106,6;587,5;538,9;1233
2013-09;sept-13;2013;sept;336,49;141,38;115,69;59,78;1491,58;106,6;596,9;577,5;1281
2013-10;oct-13;2013;oct;331,05;275,65;157,17;122,19;1423,95;108,8;572,9;702,2;1384
2013-11;nov-13;2013;nov;316,23;262,52;150,47;61,91;1266,46;115,2;509,9;450,1;1075
2013-12;dec-13;2013;dec;352,83;211,5;139,74;60,81;1396,03;126,3;502,6;635,9;1265
2014-01;janv-14;2014;janv;329,91;287,18;132,85;120,1;1370,06;117,78;482;519,37;1119,15
2014-02;fev-14;2014;fev;303,55;238,5;138,55;124,7;1225,27;108,42;460,97;560,56;1129,94
2014-03;mars-14;2014;mars;335,05;256,49;145,68;59,6;1315,82;119,7;478,02;551,11;1148,83
2014-04;avr-14;2014;avril;343,73;322,63;134,19;60;1272,09;125,05;512,14;518,6;1155,79
2014-05;mai-14;2014;mai;358,25;327,5;139,95;128,1;1372,04;129,42;531,81;551,86;1213,09
2014-06;juin-14;2014;juin;357,28;167,54;139,24;60,1;1537,4;124,42;580,14;489,68;1194,25
2014-07;juil-14;2014;juill;357,51;320,56;142,97;126,1;1777,46;114,73;617,14;513,95;1245,82
2014-08;aout-14;2014;aout;381,67;333,57;78,34;128;1875,91;116,56;613,97;563,75;1294,29
2014-09;sept-14;2014;sept;361,74;239,38;156,82;60,2;1729,15;116,71;650,62;662,07;1429,4
2014-10;oct-14;2014;oct;377,52;283,7;157,36;62,4;1426,89;116,99;578,65;610,72;1306,36
2014-11;nov-14;2014;nov;395,22;255,12;153,32;127;1290,1;114,1;489,17;673,1;1276,37
2014-12;dec-14;2014;dec;446,96;331,4;205,79;123,5;1413,23;122,33;526,4;605,65;1254,38
2015-01;janv-15;2015;janv;420,55;383,49;116,28;64,29;1432,48;109,65;510,05;568,34;1188,04
2015-02;fev-15;2015;fev;383,67;409,66;104,26;123,64;1329,4;112,16;482,27;572,58;1167,01
2015-03;mars-15;2015;mars;444,38;329,09;147,65;64,25;1373,31;126,98;494,6;575,61;1197,19
2015-04;avr-15;2015;avril;386,1;480,18;150,05;63,27;1311,23;119,34;516,28;568,63;1204,25
2015-05;mai-15;2015;mai;398,13;220,29;119,25;62,5;1437,66;124,77;570,35;550,95;1246,07
2015-06;juin-15;2015;juin;409,25;319,02;122,97;122;1578,32;116,83;566,74;546,21;1229,77
2015-07;juil-15;2015;juill;400,25;288,27;156,06;123,99;1932,08;110,55;607,82;516;1234,37
2015-08;aout-15;2015;aout;386,32;349,32;7,16;0;1969,41;122,53;634,76;627,16;1384,45
2015-09;sept-15;2015;sept;344,61;397,35;64,67;0;1637,72;120,53;600,84;606,46;1327,83
2015-10;oct-15;2015;oct;344,74;277,22;134,05;63,01;1419,4;105,26;537,85;681,46;1324,57
2015-11;nov-15;2015;nov;324,91;219,37;113,12;63,37;1297,83;114,82;500,7;662,4;1277,92
2015-12;dec-15;2015;dec;389,21;254,75;134,55;129,12;1446,25;124,68;508,57;576,47;1209,72
2016-01;janv-16;2016;janv;362,4;323,03;135,74;63,2;1427,64;N/A;N/A;N/A;N/A
2016-02;fev-16;2016;fev;328,1;291,27;125,47;60;1338,15;224,27;963,14;1178,78;2366,19
2016-03;mars-16;2016;mars;374,46;362,22;49,35;65;1425,43;123,35;518,62;657,05;1299,02
2016-04;avr-16;2016;avril;367,11;268,98;44,2;0;1356,52;122,6;507,11;581,31;1211,02
2016-05;mai-16;2016;mai;390,47;303,44;141,18;126,3;1470,87;135,09;542,83;525,47;1203,39
2016-06;juin-16;2016;juin;363,41;305,96;131,05;60,4;1616,56;112,37;574,58;560,39;1247,34
2016-07;juil-16;2016;juill;356,8;274,83;137,04;129,2;1873,26;90,72;590,64;444,57;1125,93
2016-08;aout-16;2016;aout;385,57;310,21;122,19;61,9;1896,08;N/A;N/A;N/A;N/A
2016-09;sept-16;2016;sept;346,32;298,47;136,36;129,7;1557,02;201,49;1230,28;1267,44;2699,21
2016-10;oct-16;2016;oct;342,22;326,53;136,23;64,4;1461,79;118,04;548,78;676,636;1343,46
2016-11;nov-16;2016;nov;377,88;304,13;22,17;63,9;1339,52;131,16;529,12;736,264;1396,54
2016-12;dec-16;2016;dec;363,45;332,8;79,86;61,9;1379,66;117,9;482,9;543,1;1143,9
